,facility,city,Code,website,href
132,casa,bogota,277-M3016611,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-4-habitaciones-3-banos-2-garajes/277-M3016611
133,casa,bogota,13195-M3612083,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-centenario-5-habitaciones-5-banos-3-garajes/13195-M3612083
134,casa,bogota,788-M3727414,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-sector-alto-jorda%C2%A1n-5-habitaciones-3-banos/788-M3727414
135,casa,bogota,548-M3474134,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-mayapan-las-vegas-4-habitaciones-3-banos-1-garajes/548-M3474134
136,casa,bogota,10159-M3885719,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-nueva-tequendama-4-habitaciones-5-banos-2-garajes/10159-M3885719
137,casa,bogota,793-M3112693,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacion-ciudad-jardin-4-habitaciones-5-banos-4-garajes/793-M3112693
138,casa,bogota,3406-M3820763,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelacion-cerros-la-buitrera-4-habitaciones-5-banos-4-garajes/3406-M3820763
139,casa,bogota,13195-M3887048,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-los-andes-b-la-riviera-4-habitaciones-3-banos-1-garajes/13195-M3887048
140,casa,bogota,277-M3477042,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-vipasa-5-habitaciones-5-banos-3-garajes/277-M3477042
141,casa,bogota,4915-3608505,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacion-ciudad-jardin-4-habitaciones-5-banos-4-garajes/4915-3608505
142,casa,bogota,793-M3773671,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-prados-del-norte-5-habitaciones-3-banos-4-garajes/793-M3773671
143,casa,bogota,9947-5822,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ulpiano-lloreda-1-habitaciones-4-banos-1-garajes/9947-5822
144,casa,bogota,793-M3743830,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-el-ingenio-5-habitaciones-4-banos-1-garajes/793-M3743830
145,casa,bogota,2589-M3477483,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-real-5-habitaciones-3-banos-1-garajes/2589-M3477483
146,casa,bogota,277-M3815760,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-la-flora-4-habitaciones-4-banos-1-garajes/277-M3815760
147,casa,bogota,9947-5765,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudadela-comfandi-5-habitaciones-2-banos/9947-5765
148,casa,bogota,277-M3746139,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-la-flora-4-habitaciones-4-banos-1-garajes/277-M3746139
149,casa,bogota,10159-M3535929,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-bajos-ciudad-cordoba-5-habitaciones-3-banos-3-garajes/10159-M3535929
